"depthclass","hind","simulation","varname","year","month","date","unit","value_dc_610","value_dc_620","value_dc_630","value_610","value_620","value_630","value_dc_610_to_630"
"Bottom","yes","ssp126","temp",1987,9,1987-09-15,"Celsius",6.61983408669443,6.85106043366616,8.89978251210486,5.25594007350946,5.52717966788923,7.36069610266186,7.71521767245841
"Bottom","yes","ssp126","temp",1987,10,1987-10-16,"Celsius",6.81536373728252,7.04650986112479,7.90786008160698,5.41693575062236,5.64340619766631,6.4643787598701,7.37473821895601
"Bottom","yes","ssp126","temp",1987,11,1987-11-15,"Celsius",6.49996152905505,6.67633374604746,6.77126286851682,5.42091759821177,5.63236951332863,5.6951813776194,6.67297036356271
"Bottom","yes","ssp126","temp",1987,12,1987-12-16,"Celsius",5.57036851840605,5.76548800966664,5.68555200138812,4.76294405582746,5.10806165186515,4.73980575196047,5.67828283899424
"Bottom","yes","ssp126","temp",1988,1,1988-01-16,"Celsius",4.40252207274588,4.52757041027727,4.2498769106309,4.01905390021842,4.15439296771794,3.59254783219753,4.3694620948566
"Bottom","yes","ssp126","temp",1988,2,1988-02-15,"Celsius",2.89677417666157,2.73634649318662,3.56345266096739,2.80894887041489,2.96588827910575,2.91577835727929,3.15171580627496
"Bottom","yes","ssp126","temp",1988,3,1988-03-16,"Celsius",1.69138398582217,2.15096548562896,3.19575790487466,1.92250807428127,2.37307414449714,2.47280877365896,2.50214176319101
"Bottom","yes","ssp126","temp",1988,4,1988-04-15,"Celsius",2.38803914839312,2.8221916863446,4.00987376346408,2.24102307441982,2.75325768228263,3.17620177463642,3.24452752138406
"Bottom","yes","ssp126","temp",1988,5,1988-05-16,"Celsius",2.95991467571562,3.58815398197306,5.41319013497872,2.5159220067833,3.17966488651413,4.27552744267162,4.2473220026716
"Bottom","yes","ssp126","temp",1988,6,1988-06-15,"Celsius",4.09995372610066,4.48788678035716,6.75238185183026,3.27296288118353,3.70345699591451,5.40701415996631,5.40837917244649
"Bottom","yes","ssp126","temp",1988,7,1988-07-16,"Celsius",4.95046208158908,5.26096312582654,7.96549314411785,3.91430395985522,4.24919367258995,6.58995072797408,6.40036454457621
"Bottom","yes","ssp126","temp",1988,8,1988-08-16,"Celsius",5.68555239795187,5.97296311121709,8.66658077201626,4.40313702088999,4.80430952820353,7.37447000130801,7.11348895777436
"Bottom","yes","ssp126","temp",1988,9,1988-09-15,"Celsius",6.2104386506536,6.60690208780623,9.01080941826109,4.78155944315197,5.25468730415949,7.51133923244171,7.58808659918023
"Bottom","yes","ssp126","temp",1988,10,1988-10-16,"Celsius",6.36849077608522,6.96326967329724,8.25871970519721,5.0461798905114,5.5673201626179,6.82758612555445,7.39216288990345
"Bottom","yes","ssp126","temp",1988,11,1988-11-15,"Celsius",6.04310167415356,6.61763149909728,6.96855169991412,5.0052961307295,5.57805632510998,5.87050668401952,6.62549316298037
"Bottom","yes","ssp126","temp",1988,12,1988-12-16,"Celsius",5.45268404601383,5.74649876762896,5.30388231686667,4.66639182420047,5.09324634399611,4.51339937969513,5.46972919126668
"Bottom","yes","ssp126","temp",1989,1,1989-01-16,"Celsius",4.8113905890936,4.89705855557232,4.21425693903865,4.360776685677,4.47101648256137,3.56675403633071,4.56641280125716
"Bottom","yes","ssp126","temp",1989,2,1989-02-14,"Celsius",4.71301401731002,4.67803870147718,4.26984369745903,4.18814032291841,4.21351938457522,3.47118544410598,4.50295373246951
"Bottom","yes","ssp126","temp",1989,3,1989-03-16,"Celsius",4.28352355961541,3.97274237410292,3.72689626296744,3.91272181274183,3.75072373707971,2.98910746280834,3.94320265616983
"Bottom","yes","ssp126","temp",1989,4,1989-04-15,"Celsius",3.93329065456026,3.74384839832754,3.96342641942448,3.72105241223649,3.59901452855308,3.12325405058667,3.89259695840704
"Bottom","yes","ssp126","temp",1989,5,1989-05-16,"Celsius",4.3971845222727,4.37754411226503,5.36611218699765,4.00293575818292,3.9750315274693,4.22048533259399,4.82890503173288
"Bottom","yes","ssp126","temp",1989,6,1989-06-15,"Celsius",5.13967327416337,5.14981517662234,6.82811652103414,4.39423360498199,4.40693560639892,5.48954767925218,5.90470102288166
"Bottom","yes","ssp126","temp",1989,7,1989-07-16,"Celsius",5.78681247512844,5.75975937324979,7.88681551081669,4.87229041501891,4.85177717613712,6.50344566553416,6.72694750306497
"Bottom","yes","ssp126","temp",1989,8,1989-08-16,"Celsius",6.37422452929022,6.35382164799757,8.46153051677969,5.25195187633571,5.28080693277418,7.15773590157023,7.31053445390987
"Bottom","yes","ssp126","temp",1989,9,1989-09-15,"Celsius",6.80215292576002,6.98100132392286,8.91695280505307,5.4671992087807,5.67219990140404,7.38399303813906,7.80798050279798
"Bottom","yes","ssp126","temp",1989,10,1989-10-16,"Celsius",7.06353341252584,7.3780702321889,8.08184361457784,5.62283400222338,5.94647031455311,6.64448526524732,7.61332281534286
"Bottom","yes","ssp126","temp",1989,11,1989-11-15,"Celsius",6.47732763455161,6.72795465470911,6.23767911603323,5.40032674885735,5.68013082186146,5.22099977173864,6.44098874756688
"Bottom","yes","ssp126","temp",1989,12,1989-12-16,"Celsius",5.15959457005607,4.49158981364373,3.27505003760589,4.42593152901562,4.11417290525559,3.30989652130545,4.11750091730278
"Bottom","yes","ssp126","temp",1990,2,1990-02-25,"Celsius",1.86627042280262,2.35993008855577,2.04755799474855,1.86627042280262,2.35993008855577,2.04755799474855,2.08958735583492
"Bottom","yes","ssp126","temp",1990,3,1990-03-16,"Celsius",2.11872294676497,2.36072325947028,2.21014868627629,2.11872294676497,2.36072325947028,2.21014868627629,2.22935017414361
"Bottom","yes","ssp126","temp",1990,4,1990-04-15,"Celsius",2.78474917995713,3.0004635628649,3.44516047346339,2.78474917995713,3.0004635628649,3.44516047346339,3.14466839201437
"Bottom","yes","ssp126","temp",1990,5,1990-05-16,"Celsius",3.61547622980986,3.60824812694998,5.01545288741193,3.61547622980986,3.60824812694998,5.01545288741193,4.24531895550709
"Bottom","yes","ssp126","temp",1990,6,1990-06-15,"Celsius",4.49017139422547,4.18812336688397,6.5118135945449,4.49017139422547,4.18812336688397,6.5118135945449,5.31611974776394
"Bottom","yes","ssp126","temp",1990,7,1990-07-16,"Celsius",5.20936872153002,4.7832810324021,7.75197257347604,5.20936872153002,4.7832810324021,7.75197257347604,6.23491498364349
"Bottom","yes","ssp126","temp",1990,8,1990-08-16,"Celsius",5.85627258037046,5.61166073346037,8.51396656550369,5.85627258037046,5.61166073346037,8.51396656550369,6.98578060808849
"Bottom","yes","ssp126","temp",1990,9,1990-09-15,"Celsius",5.90714838443686,5.78187782282637,8.46405855094762,5.90714838443686,5.78187782282637,8.46405855094762,7.02536964138021
"Bottom","yes","ssp126","temp",1990,10,1990-10-16,"Celsius",5.84435491187824,6.19597568400787,7.77694466467603,5.84435491187824,6.19597568400787,7.77694466467603,6.81745585848093
"Bottom","yes","ssp126","temp",1990,11,1990-11-15,"Celsius",5.58965231140776,5.83669663857345,6.0274890647457,5.58965231140776,5.83669663857345,6.0274890647457,5.85808645897636
"Bottom","yes","ssp126","temp",1990,12,1990-12-16,"Celsius",4.88117352802009,4.85302935579564,3.88890271203202,4.88117352802009,4.85302935579564,3.88890271203202,4.42522092051976
"Bottom","yes","ssp126","temp",1991,1,1991-01-16,"Celsius",4.44729250194756,4.19510611451896,3.22884664433147,4.44729250194756,4.19510611451896,3.22884664433147,3.82503719637837
"Bottom","yes","ssp126","temp",1991,2,1991-02-14,"Celsius",3.38348257742757,3.14875157242438,2.67202765448942,3.38348257742757,3.14875157242438,2.67202765448942,2.9950731780822
"Bottom","yes","ssp126","temp",1991,3,1991-03-16,"Celsius",3.43735742769852,3.01863294480855,2.70644995348857,3.43735742769852,3.01863294480855,2.70644995348857,2.98743308854684
"Bottom","yes","ssp126","temp",1991,4,1991-04-15,"Celsius",3.60890140322322,3.11479908922014,3.47088609058324,3.60890140322322,3.11479908922014,3.47088609058324,3.40498961578149
"Bottom","yes","ssp126","temp",1991,5,1991-05-16,"Celsius",4.15161793252676,3.83442830751014,4.84593306829303,4.15161793252676,3.83442830751014,4.84593306829303,4.37410436489415
"Bottom","yes","ssp126","temp",1991,6,1991-06-15,"Celsius",4.77963330802578,4.50137579820663,6.31069835697406,4.77963330802578,4.50137579820663,6.31069835697406,5.39096605239147
"Bottom","yes","ssp126","temp",1991,7,1991-07-16,"Celsius",5.12637495239043,4.83460337381771,7.39980879129849,5.12637495239043,4.83460337381771,7.39980879129849,6.06892108431753
"Bottom","yes","ssp126","temp",1991,8,1991-08-16,"Celsius",5.61355339427319,5.2567243414543,8.14646725852318,5.61355339427319,5.2567243414543,8.14646725852318,6.65457612238575
"Bottom","yes","ssp126","temp",1991,9,1991-09-15,"Celsius",6.46948011777292,6.32550775057904,8.61988119728774,6.46948011777292,6.32550775057904,8.61988119728774,7.39885321788457
"Bottom","yes","ssp126","temp",1991,10,1991-10-16,"Celsius",6.4793607308433,6.83456112501365,8.14606587868875,6.4793607308433,6.83456112501365,8.14606587868875,7.33347398884769
"Bottom","yes","ssp126","temp",1991,11,1991-11-15,"Celsius",6.79182646784357,6.99897289025498,7.15048061493273,6.79182646784357,6.99897289025498,7.15048061493273,7.01308439488718
"Bottom","yes","ssp126","temp",1991,12,1991-12-16,"Celsius",5.77230880372097,5.98761364454574,5.66814195009646,5.77230880372097,5.98761364454574,5.66814195009646,5.78699922162579
"Bottom","yes","ssp126","temp",1992,1,1992-01-16,"Celsius",4.78125380500208,5.10130534891546,4.74830335628369,4.78125380500208,5.10130534891546,4.74830335628369,4.85811107553679
"Bottom","yes","ssp126","temp",1992,2,1992-02-15,"Celsius",3.90087783618877,4.15440253405962,3.98601108259417,3.90087783618877,4.15440253405962,3.98601108259417,4.011967804863
"Bottom","yes","ssp126","temp",1992,3,1992-03-16,"Celsius",3.48227219330144,3.71389324372611,3.57691771815842,3.48227219330144,3.71389324372611,3.57691771815842,3.59137794086401
"Bottom","yes","ssp126","temp",1992,4,1992-04-15,"Celsius",3.65492502244292,3.90338771699598,4.2451071232676,3.65492502244292,3.90338771699598,4.2451071232676,3.99253056164252
"Bottom","yes","ssp126","temp",1992,5,1992-05-16,"Celsius",4.3335291058749,4.53729415005106,5.52653659994403,4.3335291058749,4.53729415005106,5.52653659994403,4.93042408440456
"Bottom","yes","ssp126","temp",1992,6,1992-06-15,"Celsius",5.37942576332433,5.28610682357168,7.08689294386003,5.37942576332433,5.28610682357168,7.08689294386003,6.12338742858464
"Bottom","yes","ssp126","temp",1992,7,1992-07-16,"Celsius",5.89613053978761,5.68330178673444,8.10467436774752,5.89613053978761,5.68330178673444,8.10467436774752,6.83201282523593
"Bottom","yes","ssp126","temp",1992,8,1992-08-16,"Celsius",6.45808073794919,6.40429516212281,8.8352976110315,6.45808073794919,6.40429516212281,8.8352976110315,7.51568132519137
